COD_INMUEBLE,NOM_SUCURSAL,NOM_BARRIO,NOM_CIUDAD,ESTRATO,TIPO_INMUEBLE,AREA,VLR_CANON,VLR_ADMINISTRACION,FECHA_CONSIGNACION,FECHA_RECONSIGNACION,FECHA_CONTRATO,COD_ESTADO_CONTRATO
845,BUCARAMANGA,RICAURTE,BUCARAMANGA,TRES,CASA,30,774740,0,22022013,,30012014,INACTIVO
846,BUCARAMANGA,RICAURTE,BUCARAMANGA,TRES,LOCAL,26,740250,0,22022013,,24032016,INACTIVO
847,BUCARAMANGA,RICAURTE,BUCARAMANGA,TRES,APARTAMENTO,92,803260,0,22022013,,25012018,VIGENTE
848,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,CASA,33,830080,192000,26082017,,12072014,INACTIVO
849,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,13,866490,192000,26082017,,04052013,INACTIVO
850,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,17,891800,192000,26082017,,30082017,VIGENTE
851,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,28,713580,163000,17042013,,11072013,INACTIVO
852,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,16,725620,163000,17042013,,29082014,INACTIVO
853,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,18,768740,163000,17042013,,01112015,INACTIVO
854,BUCARAMANGA,SAN FRANCISCO,BUCARAMANGA,CUATRO,LOCAL,29,674700,163000,17042013,,27032018,VIGENTE
855,BUCARAMANGA,DIAMANTE II,BUCARAMANGA,CUATRO,LOCAL,27,1600000,0,28022013,27092019,04022020,VIGENTE
856,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,75,830080,0,20042013,,30052014,INACTIVO
857,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,31,764550,0,20042013,,11052013,INACTIVO
858,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,25,825240,0,20042013,,01102016,VIGENTE
859,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,88,851160,0,20042013,,04052013,VIGENTE
860,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,63,519000,0,20042013,,27072019,VIGENTE
861,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,38,520450,0,20042013,,05092017,INACTIVO
862,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,23,509700,0,20042013,,17092013,INACTIVO
863,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,57,608730,0,20042013,,11102014,INACTIVO
864,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,24,500000,0,20042013,,16102018,INACTIVO
865,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,23,556930,0,20042013,,10022018,VIGENTE
866,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,23,570130,0,20042013,,17092013,INACTIVO
867,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,85,546000,0,20042013,,06012016,INACTIVO
868,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,96,846000,0,20042013,,26082016,INACTIVO
869,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,30,830080,0,20042013,,30072014,INACTIVO
870,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,56,795130,0,20042013,,01062013,INACTIVO
871,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,14,836110,0,20042013,,18092017,VIGENTE
872,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,17,846180,0,20042013,,10052013,INACTIVO
873,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,22,830400,0,20042013,,30012019,VIGENTE
874,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,64,800000,0,20042013,,26022017,INACTIVO
875,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,APARTAMENTO,23,832720,0,20042013,,28122017,INACTIVO
876,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,71,800000,0,20042013,,28052016,INACTIVO
877,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,13,535500,0,20042013,,30012018,VIGENTE
878,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,LOCAL,15,634030,0,20042013,,03072013,INACTIVO
879,BUCARAMANGA,UNIVERSIDAD,BUCARAMANGA,CUATRO,CASA,63,613350,0,20042013,,22082015,INACTIVO
880,BUCARAMANGA,NUEVO SOTOMAYOR,BUCARAMANGA,CUATRO,LOCAL,28,1050000,315000,15062013,,18102019,VIGENTE
